搜索词,日期,推广计划,推广单元,展现,点击,消费,点击率（%）,平均点击价格
臭氧发生器价格多少钱,2020/08/02,test,济南浩恒环保,9,1,7.76,11.11%,7.76
臭氧发生器厂家,2020/08/07,test,济南浩恒环保,717,1,5.92,0.14%,5.92
臭氧发生器,2020/08/07,test,济南浩恒环保,4104,4,31.47,0.10%,7.87
臭氧发生器生产厂商,2020/08/07,test,济南浩恒环保,119,1,3.94,0.84%,3.94
臭氧发生器厂家,2020/08/03,test,济南浩恒环保,550,1,10.17,0.18%,10.17
臭氧发生器,2020/08/03,test,济南浩恒环保,3788,6,55.98,0.16%,9.33
臭氧发生器,2020/08/04,test,济南浩恒环保,3433,3,27.67,0.09%,9.23
臭氧发生器生产厂商,2020/08/02,test,济南浩恒环保,54,1,8.91,1.85%,8.91
臭氧发生器,2020/08/05,test,济南浩恒环保,3193,9,83.62,0.28%,9.30
臭氧发生器,2020/08/02,test,济南浩恒环保,2648,8,73.27,0.30%,9.16
移动式臭氧发生器,2020/08/04,test,济南浩恒环保,104,1,4.79,0.96%,4.79
臭氧发生器,2020/08/08,test,济南浩恒环保,4202,3,15.93,0.07%,5.31
臭氧发生器,2020/08/06,test,济南浩恒环保,3884,5,45.73,0.13%,9.15
臭氧发生器厂家,2020/08/02,test,济南浩恒环保,393,1,10.40,0.25%,10.40
臭氧发生器生产厂商,2020/08/03,test,济南浩恒环保,109,2,18.47,1.83%,9.24
